x,y,xd,yd,xdd,ydd
300.0055496874,300,0.66928,0,-80,0
300.0062142824,300,0.709,0,-80,0
300.0062702934,300,0.71216,0,-80,0
300.0064696982,300,0.72336,0,-80,0
300.0065123764,300,0.72572,0,-80,0
300.0065493882,300,0.72776,0,-80,0
300.0065865039,300,0.7298,0,-80,0
300.0066010999,300,0.7306,0,-80,0
300.0066157119,300,0.7314,0,-80,0
300.0066303399,300,0.7322,0,-80,0
300.0066442517,300,0.73296,0,-80,0
300.0066589109,300,0.73376,0,-80,0
300.0066728524,300,0.73452,0,-80,0
300.0066875428,300,0.73532,0,-80,0
300.0067022492,300,0.73612,0,-80,0
300.0067162354,300,0.73688,0,-80,0
300.0067302362,300,0.73764,0,-80,0
300.0067442513,300,0.7384,0,-80,0
300.0067590193,300,0.7392,0,-80,0
300.0067871089,300,0.74072,0,-80,0
300.0068011826,300,0.74148,0,-80,0
300.0068152707,300,0.74224,0,-80,0
300.0068375379,300,0.74344,0,-80,0
300.0068516633,300,0.7442,0,-80,0
300.0068658031,300,0.74496,0,-80,0
300.0068807023,300,0.74576,0,-80,0
300.0068948717,300,0.74652,0,-80,0
300.0069098021,300,0.74732,0,-80,0
300.0069247485,300,0.74812,0,-80,0
300.0069389628,300,0.74888,0,-80,0
300.0069539404,300,0.74968,0,-80,0
300.0069681843,300,0.75044,0,-80,0
300.0069831931,300,0.75124,0,-80,0
300.0069974667,300,0.752,0,-80,0
300.0070117547,300,0.75276,0,-80,0
300.0070268099,300,0.75356,0,-80,0
300.0070411275,300,0.75432,0,-80,0
300.0070554596,300,0.75508,0,-80,0
300.0070698061,300,0.75584,0,-80,0
300.0070841671,300,0.7566,0,-80,0
300.0071227537,300,0.75864,0,-80,0
300.0071424783,300,0.75968,0,-80,0
300.0071743849,300,0.76136,0,-80,0
300.0071918962,300,0.76228,0,-80,0
300.007207904,300,0.76312,0,-80,0
300.0072224033,300,0.76388,0,-80,0
300.0072376809,300,0.76468,0,-80,0
300.0072529745,300,0.76548,0,-80,0
300.0072682841,300,0.76628,0,-80,0
300.0072828434,300,0.76704,0,-80,0
300.0072981842,300,0.76784,0,-80,0
300.0073127732,300,0.7686,0,-80,0
300.0073273766,300,0.76936,0,-80,0
300.0073419944,300,0.77012,0,-80,0
300.0073566267,300,0.77088,0,-80,0
300.0073712734,300,0.77164,0,-80,0
300.0073859346,300,0.7724,0,-80,0
300.0074006102,300,0.77316,0,-80,0
300.0074160734,300,0.77396,0,-80,0
300.0074315526,300,0.77476,0,-80,0
300.007446273,300,0.77552,0,-80,0
300.0074617834,300,0.77632,0,-80,0
300.0074765335,300,0.77708,0,-80,0
300.007491298,300,0.77784,0,-80,0
300.007506077,300,0.7786,0,-80,0
300.007521649,300,0.7794,0,-80,0
300.0075380164,300,0.78024,0,-80,0
300.0075559619,300,0.78116,0,-80,0
300.007570804,300,0.78192,0,-80,0
300.0075856604,300,0.78268,0,-80,0
300.0076005314,300,0.78344,0,-80,0
300.0076162002,300,0.78424,0,-80,0
300.0076311007,300,0.785,0,-80,0
300.0076460157,300,0.78576,0,-80,0
300.0076609452,300,0.78652,0,-80,0
300.007675889,300,0.78728,0,-80,0
300.0076908474,300,0.78804,0,-80,0
300.0077058201,300,0.7888,0,-80,0
300.0077208073,300,0.78956,0,-80,0
300.007735809,300,0.79032,0,-80,0
300.007750825,300,0.79108,0,-80,0
300.0077658556,300,0.79184,0,-80,0
300.0077809005,300,0.7926,0,-80,0
300.0077959599,300,0.79336,0,-80,0
300.0078110338,300,0.79412,0,-80,0
300.0078269162,300,0.79492,0,-80,0
300.007858713,300,0.79652,0,-80,0
300.0078746434,300,0.79732,0,-80,0
300.0078905898,300,0.79812,0,-80,0
300.0079065522,300,0.79892,0,-80,0
300.0079217316,300,0.79968,0,-80,0
300.0079369256,300,0.80044,0,-80,0
300.0079521339,300,0.8012,0,-80,0
300.0079793747,300,0.80256,0,-80,0
300.0079954259,300,0.80336,0,-80,0
300.0080106898,300,0.80412,0,-80,0
300.0080267722,300,0.80492,0,-80,0
300.0080420656,300,0.80568,0,-80,0
300.0080654304,300,0.80684,0,-80,0
300.0080815672,300,0.80764,0,-80,0
300.0080969123,300,0.8084,0,-80,0
300.0081122719,300,0.80916,0,-80,0
300.0081284551,300,0.80996,0,-80,0
300.0081438444,300,0.81072,0,-80,0
300.008159248,300,0.81148,0,-80,0
300.0081746662,300,0.81224,0,-80,0
300.0081900987,300,0.813,0,-80,0
300.0082055457,300,0.81376,0,-80,0
300.0082210072,300,0.81452,0,-80,0
300.008236483,300,0.81528,0,-80,0
300.0082511581,300,0.816,0,-80,0
300.0082666621,300,0.81676,0,-80,0
300.0082813638,300,0.81748,0,-80,0
300.0082968959,300,0.81824,0,-80,0
300.0083124424,300,0.819,0,-80,0
300.0083280034,300,0.81976,0,-80,0
300.0083435789,300,0.82052,0,-80,0
300.0083591688,300,0.82128,0,-80,0
300.0083739518,300,0.822,0,-80,0
300.0083895698,300,0.82276,0,-80,0
300.0084052022,300,0.82352,0,-80,0
300.0084208491,300,0.82428,0,-80,0
300.0084365104,300,0.82504,0,-80,0
300.0084513612,300,0.82576,0,-80,0
300.0084662248,300,0.82648,0,-80,0
300.008481928,300,0.82724,0,-80,0
300.0084976455,300,0.828,0,-80,0
300.0085133775,300,0.82876,0,-80,0
300.008529124,300,0.82952,0,-80,0
300.0085448848,300,0.83028,0,-80,0
300.0085606602,300,0.83104,0,-80,0
300.0085756189,300,0.83176,0,-80,0
300.0085922541,300,0.83256,0,-80,0
300.0086089053,300,0.83336,0,-80,0
300.0086247391,300,0.83412,0,-80,0
300.0086397533,300,0.83484,0,-80,0
300.0086547804,300,0.83556,0,-80,0
300.008670656,300,0.83632,0,-80,0
300.0086865461,300,0.83708,0,-80,0
300.0087024506,300,0.83784,0,-80,0
300.0087300994,300,0.83916,0,-80,0
300.0087603091,300,0.8406,0,-80,0
300.0087779617,300,0.84144,0,-80,0
300.0088082536,300,0.84288,0,-80,0
300.0088251112,300,0.84368,0,-80,0
300.0088529526,300,0.845,0,-80,0
300.0088926676,300,0.84688,0,-80,0
300.0089358585,300,0.84892,0,-80,0
300.0089706642,300,0.85056,0,-80,0
300.009003836,300,0.85212,0,-80,0
300.0090379208,300,0.85372,0,-80,0
300.0090703622,300,0.85524,0,-80,0
300.0091131242,300,0.85724,0,-80,0
300.0091474138,300,0.85884,0,-80,0
300.0091809086,300,0.8604,0,-80,0
300.0092153246,300,0.862,0,-80,0
300.0092489426,300,0.86356,0,-80,0
300.0092826214,300,0.86512,0,-80,0
300.0093163611,300,0.86668,0,-80,0
300.0093510283,300,0.86828,0,-80,0
300.0093857595,300,0.86988,0,-80,0
300.0094205547,300,0.87148,0,-80,0
300.0094554139,300,0.87308,0,-80,0
300.0094885909,300,0.8746,0,-80,0
300.0095227003,300,0.87616,0,-80,0
300.0096953038,300,0.88404,0,-80,0
300.0097377378,300,0.88596,0,-80,0
300.0097749481,300,0.88764,0,-80,0
300.0098104537,300,0.88924,0,-80,0
300.0098478018,300,0.89092,0,-80,0
300.0098834386,300,0.89252,0,-80,0
300.0099244945,300,0.89436,0,-80,0
300.0099611632,300,0.896,0,-80,0
300.0099970032,300,0.8976,0,-80,0
300.0100499616,300,0.89996,0,-80,0
300.01008686,300,0.9016,0,-80,0
300.0101220224,300,0.90316,0,-80,0
300.0101581488,300,0.90476,0,-80,0
300.0101925297,300,0.90628,0,-80,0
300.0102278746,300,0.90784,0,-80,0
300.010265096,300,0.90948,0,-80,0
300.0103005658,300,0.91104,0,-80,0
300.0103360963,300,0.9126,0,-80,0
300.0103716877,300,0.91416,0,-80,0
300.0104228807,300,0.9164,0,-80,0
300.0104595367,300,0.918,0,-80,0
300.0104953387,300,0.91956,0,-80,0
300.0105312015,300,0.92112,0,-80,0
300.0105662041,300,0.92264,0,-80,0
300.0106012644,300,0.92416,0,-80,0
300.0106373066,300,0.92572,0,-80,0
300.0106743354,300,0.92732,0,-80,0
300.0107095736,300,0.92884,0,-80,0
300.0107448695,300,0.93036,0,-80,0
300.0107802232,300,0.93188,0,-80,0
300.0108165665,300,0.93344,0,-80,0
300.0108529707,300,0.935,0,-80,0
300.0108885007,300,0.93652,0,-80,0
300.0109240884,300,0.93804,0,-80,0
300.010960672,300,0.9396,0,-80,0
300.0109973164,300,0.94116,0,-80,0
300.0110340216,300,0.94272,0,-80,0
300.011069845,300,0.94424,0,-80,0
300.0111047819,300,0.94572,0,-80,0
300.0111407192,300,0.94724,0,-80,0
300.0111767144,300,0.94876,0,-80,0
300.0112156135,300,0.9504,0,-80,0
300.0112526791,300,0.95196,0,-80,0
300.0112898056,300,0.95352,0,-80,0
